DATAFLOW,LAST UPDATE,freq,lev_perc,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LU,2016-01-01,73.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LV,2016-01-01,42.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,MT,2016-01-01,44.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,NL,2016-01-01,72.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,PL,2016-01-01,45.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,PT,2016-01-01,33.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,RO,2016-01-01,51.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SE,2016-01-01,77.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SI,2016-01-01,30.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SK,2016-01-01,21.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,UK,2016-01-01,70.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,AT,2017-01-01,16.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,BE,2017-01-01,27.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,BG,2017-01-01,63.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,CY,2017-01-01,25.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,CZ,2017-01-01,40.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,DE,2017-01-01,16.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,DK,2017-01-01,7.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,EE,2017-01-01,14.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,EL,2017-01-01,36.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,ES,2017-01-01,58.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,EU27_2020,2017-01-01,36.0,e,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,FI,2017-01-01,13.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,FR,2017-01-01,37.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,HR,2017-01-01,62.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,HU,2017-01-01,28.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,IE,2017-01-01,19.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,IT,2017-01-01,57.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,LT,2017-01-01,32.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,LU,2017-01-01,9.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,LV,2017-01-01,43.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,MT,2017-01-01,31.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,NL,2017-01-01,12.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,PL,2017-01-01,37.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,PT,2017-01-01,44.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,RO,2017-01-01,35.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,SE,2017-01-01,18.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,SI,2017-01-01,51.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,SK,2017-01-01,59.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VB_FB,PC,UK,2017-01-01,16.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,AT,2017-01-01,78.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,BE,2017-01-01,59.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,BG,2017-01-01,26.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,CY,2017-01-01,60.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,CZ,2017-01-01,49.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,DE,2017-01-01,78.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,DK,2017-01-01,86.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,EE,2017-01-01,47.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,EL,2017-01-01,52.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,ES,2017-01-01,31.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,EU27_2020,2017-01-01,54.0,e,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,FI,2017-01-01,81.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,FR,2017-01-01,53.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,HR,2017-01-01,32.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,HU,2017-01-01,48.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,IE,2017-01-01,74.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,IT,2017-01-01,32.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LT,2017-01-01,52.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LU,2017-01-01,72.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,LV,2017-01-01,49.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,MT,2017-01-01,50.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,NL,2017-01-01,76.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,PL,2017-01-01,50.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,PT,2017-01-01,42.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,RO,2017-01-01,50.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SE,2017-01-01,72.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SI,2017-01-01,35.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,SK,2017-01-01,23.0,,
ESTAT:SDG_16_40(1.0),08/01/26 23:00:00,A,VG_FG,PC,UK,2017-01-01,71.0,,
