DATAFLOW,LAST UPDATE,freq,spscheme,spdep,spdepm,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,DE,2004-01-01,3.14,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,DK,2004-01-01,3.77,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,EA19,2004-01-01,2.13,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,EE,2004-01-01,1.61,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,EL,2004-01-01,0.8,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,ES,2004-01-01,1.08,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,FI,2004-01-01,2.84,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,FR,2004-01-01,2.65,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,HU,2004-01-01,2.38,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,IE,2004-01-01,2.36,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,IS,2004-01-01,2.95,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,IT,2004-01-01,0.92,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,LT,2004-01-01,1.14,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,LU,2004-01-01,3.68,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,LV,2004-01-01,1.29,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,MT,2004-01-01,1.12,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,NL,2004-01-01,1.24,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,NO,2004-01-01,3.09,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,PL,2004-01-01,0.95,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,PT,2004-01-01,1.16,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,RO,2004-01-01,1.58,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,SE,2004-01-01,2.84,p,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,SI,2004-01-01,1.95,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,SK,2004-01-01,1.69,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,TR,2004-01-01,0.23,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,UK,2004-01-01,2.95,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,AT,2005-01-01,3.05,,
ESTAT:SPR_EXP_FFA(1.0),17/04/26 11:00:00,A,TOTAL,SPR,TOTAL,PC_GDP,BE,2005-01-01,2.04,,
