DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EE,2001-01-01,1.32,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EEA30_2007,2001-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EEA31,2001-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EFTA,2001-01-01,1.55,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EL,2001-01-01,1.25,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,ES,2001-01-01,1.23,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU27_2007,2001-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU27_2020,2001-01-01,1.43,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU28,2001-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FI,2001-01-01,1.73,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FR,2001-01-01,1.9,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FX,2001-01-01,1.88,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,HR,2001-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,HU,2001-01-01,1.31,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IE,2001-01-01,1.94,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IS,2001-01-01,1.95,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IT,2001-01-01,1.25,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LI,2001-01-01,1.52,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LT,2001-01-01,1.29,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LU,2001-01-01,1.66,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LV,2001-01-01,1.22,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,MK,2001-01-01,1.73,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,MT,2001-01-01,1.48,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,NL,2001-01-01,1.71,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,NO,2001-01-01,1.78,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,PL,2001-01-01,1.31,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,PT,2001-01-01,1.45,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,RO,2001-01-01,1.27,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,RS,2001-01-01,1.58,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,SE,2001-01-01,1.57,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,SI,2001-01-01,1.21,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,SK,2001-01-01,1.2,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,UK,2001-01-01,1.63,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,AL,2002-01-01,1.9,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,AT,2002-01-01,1.39,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,BE,2002-01-01,1.65,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,BG,2002-01-01,1.23,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,CH,2002-01-01,1.39,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,CY,2002-01-01,1.49,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,CZ,2002-01-01,1.17,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,DE,2002-01-01,1.34,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,DE_TOT,2002-01-01,1.34,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,DK,2002-01-01,1.72,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EE,2002-01-01,1.36,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EEA30_2007,2002-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EEA31,2002-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EFTA,2002-01-01,1.54,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EL,2002-01-01,1.28,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,ES,2002-01-01,1.25,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU27_2007,2002-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU27_2020,2002-01-01,1.43,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU28,2002-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FI,2002-01-01,1.72,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FR,2002-01-01,1.88,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FX,2002-01-01,1.86,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,HR,2002-01-01,1.42,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,HU,2002-01-01,1.3,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IE,2002-01-01,1.97,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IS,2002-01-01,1.93,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IT,2002-01-01,1.27,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LI,2002-01-01,1.47,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LT,2002-01-01,1.23,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LU,2002-01-01,1.63,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LV,2002-01-01,1.26,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,MK,2002-01-01,1.8,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,MT,2002-01-01,1.45,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,NL,2002-01-01,1.73,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,NO,2002-01-01,1.75,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,PL,2002-01-01,1.25,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,PT,2002-01-01,1.46,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,RO,2002-01-01,1.27,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,RS,2002-01-01,1.57,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,SE,2002-01-01,1.65,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,SI,2002-01-01,1.21,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,SK,2002-01-01,1.19,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,UK,2002-01-01,1.63,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,AL,2003-01-01,2.06,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,AT,2003-01-01,1.38,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,BE,2003-01-01,1.67,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,BG,2003-01-01,1.26,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,CH,2003-01-01,1.39,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,CY,2003-01-01,1.51,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,CZ,2003-01-01,1.18,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,DE,2003-01-01,1.34,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,DE_TOT,2003-01-01,1.34,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,DK,2003-01-01,1.76,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EE,2003-01-01,1.37,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EEA30_2007,2003-01-01,1.48,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EEA31,2003-01-01,1.48,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EFTA,2003-01-01,1.56,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EL,2003-01-01,1.29,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,ES,2003-01-01,1.3,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU27_2007,2003-01-01,1.47,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU27_2020,2003-01-01,1.44,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,EU28,2003-01-01,1.47,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FI,2003-01-01,1.76,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FR,2003-01-01,1.89,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,FX,2003-01-01,1.87,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,HR,2003-01-01,1.41,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,HU,2003-01-01,1.27,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IE,2003-01-01,1.96,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IS,2003-01-01,1.99,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,IT,2003-01-01,1.29,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LI,2003-01-01,1.36,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LT,2003-01-01,1.26,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LU,2003-01-01,1.62,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,LV,2003-01-01,1.32,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,MK,2003-01-01,1.77,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,MT,2003-01-01,1.48,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,NL,2003-01-01,1.75,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,NO,2003-01-01,1.8,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,PL,2003-01-01,1.22,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,PT,2003-01-01,1.44,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,RO,2003-01-01,1.3,,
ESTAT:DEMO_FIND(1.0),20/04/26 23:00:00,A,TOTFERRT,RS,2003-01-01,1.59,,
