DATAFLOW,LAST UPDATE,freq,unit,sex,age,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2013-01-01,3502.3,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2013-01-01,3713.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2013-01-01,4116.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2014-01-01,9187.2,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2014-01-01,1185.4,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2014-01-01,1642.4,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2014-01-01,9528.3,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2014-01-01,15290.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2014-01-01,21430.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2014-01-01,11371.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2014-01-01,3558.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2014-01-01,3806.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2014-01-01,4224.3,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2015-01-01,9226.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2015-01-01,1155.2,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2015-01-01,1663.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2015-01-01,9714.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2015-01-01,15554.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2015-01-01,21702.6,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2015-01-01,11430.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2015-01-01,3701.9,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2015-01-01,3812.4,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2015-01-01,4239.8,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2016-01-01,9368.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2016-01-01,1168.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2016-01-01,1698.7,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,P,EU27_2020,2016-01-01,9858.4,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,Q,EU27_2020,2016-01-01,15791.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,C,EU27_2020,2016-01-01,22179.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,F,EU27_2020,2016-01-01,11499.1,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,J,EU27_2020,2016-01-01,3808.5,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,P,EU27_2020,2016-01-01,3822.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,M,Y15-74,Q,EU27_2020,2016-01-01,4420.0,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,C,EU27_2020,2017-01-01,9622.4,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,F,EU27_2020,2017-01-01,1232.2,,
ESTAT:LFSA_EGAN2(1.0),09/01/26 23:00:00,A,THS_PER,F,Y15-74,J,EU27_2020,2017-01-01,1745.6,,
