DATAFLOW,LAST UPDATE,freq,stk_flow,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HU,2013-02-01,109.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IE,2013-02-01,83.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IT,2013-02-01,96.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LT,2013-02-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LU,2013-02-01,89.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LV,2013-02-01,79.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,MT,2013-02-01,75.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,NL,2013-02-01,162.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PL,2013-02-01,95.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PT,2013-02-01,130.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,RO,2013-02-01,67.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SE,2013-02-01,76.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SI,2013-02-01,91.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SK,2013-02-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,UK,2013-02-01,59.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,AT,2013-03-01,93.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BE,2013-03-01,94.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BG,2013-03-01,71.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CY,2013-03-01,79.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CZ,2013-03-01,94.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DE,2013-03-01,92.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DK,2013-03-01,73.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EE,2013-03-01,88.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EL,2013-03-01,97.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,ES,2013-03-01,102.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FI,2013-03-01,126.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FR,2013-03-01,92.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HR,2013-03-01,85.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HU,2013-03-01,110.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IE,2013-03-01,84.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IT,2013-03-01,95.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LT,2013-03-01,95.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LU,2013-03-01,89.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LV,2013-03-01,79.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,MT,2013-03-01,75.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,NL,2013-03-01,160.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PL,2013-03-01,93.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PT,2013-03-01,123.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,RO,2013-03-01,67.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SE,2013-03-01,75.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SI,2013-03-01,93.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SK,2013-03-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,UK,2013-03-01,59.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,AT,2013-04-01,105.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BE,2013-04-01,90.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BG,2013-04-01,63.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CY,2013-04-01,80.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CZ,2013-04-01,97.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DE,2013-04-01,105.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DK,2013-04-01,76.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EE,2013-04-01,79.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EL,2013-04-01,98.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,ES,2013-04-01,107.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FI,2013-04-01,157.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FR,2013-04-01,91.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HR,2013-04-01,87.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HU,2013-04-01,110.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IE,2013-04-01,102.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IT,2013-04-01,110.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LT,2013-04-01,98.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LU,2013-04-01,93.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LV,2013-04-01,78.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,MT,2013-04-01,85.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,NL,2013-04-01,121.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PL,2013-04-01,99.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PT,2013-04-01,125.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,RO,2013-04-01,69.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SE,2013-04-01,85.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SI,2013-04-01,100.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SK,2013-04-01,95.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,UK,2013-04-01,60.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,AT,2013-05-01,102.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BE,2013-05-01,93.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BG,2013-05-01,63.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CY,2013-05-01,76.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CZ,2013-05-01,95.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DE,2013-05-01,105.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DK,2013-05-01,76.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EE,2013-05-01,89.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EL,2013-05-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,ES,2013-05-01,106.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FI,2013-05-01,153.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FR,2013-05-01,91.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HR,2013-05-01,74.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HU,2013-05-01,102.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IE,2013-05-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IT,2013-05-01,107.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LT,2013-05-01,90.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LU,2013-05-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LV,2013-05-01,73.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,MT,2013-05-01,84.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,NL,2013-05-01,122.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PL,2013-05-01,98.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PT,2013-05-01,118.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,RO,2013-05-01,69.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SE,2013-05-01,81.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SI,2013-05-01,99.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SK,2013-05-01,95.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,UK,2013-05-01,60.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,AT,2013-06-01,102.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BE,2013-06-01,93.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BG,2013-06-01,63.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CY,2013-06-01,85.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CZ,2013-06-01,94.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DE,2013-06-01,105.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DK,2013-06-01,76.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EE,2013-06-01,87.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EL,2013-06-01,94.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,ES,2013-06-01,103.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FI,2013-06-01,160.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FR,2013-06-01,91.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HR,2013-06-01,74.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HU,2013-06-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IE,2013-06-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IT,2013-06-01,97.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LT,2013-06-01,90.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LU,2013-06-01,92.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LV,2013-06-01,73.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,MT,2013-06-01,84.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,NL,2013-06-01,123.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PL,2013-06-01,100.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PT,2013-06-01,118.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,RO,2013-06-01,69.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SE,2013-06-01,83.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SI,2013-06-01,98.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SK,2013-06-01,95.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,UK,2013-06-01,60.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,AT,2013-07-01,100.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BE,2013-07-01,99.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BG,2013-07-01,63.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CY,2013-07-01,86.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CZ,2013-07-01,95.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DE,2013-07-01,105.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DK,2013-07-01,74.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EE,2013-07-01,76.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EL,2013-07-01,100.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,ES,2013-07-01,107.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FI,2013-07-01,165.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FR,2013-07-01,91.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HR,2013-07-01,74.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HU,2013-07-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IE,2013-07-01,100.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IT,2013-07-01,90.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LT,2013-07-01,90.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LU,2013-07-01,98.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,LV,2013-07-01,97.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,MT,2013-07-01,82.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,NL,2013-07-01,118.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PL,2013-07-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,PT,2013-07-01,119.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,RO,2013-07-01,69.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SE,2013-07-01,87.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SI,2013-07-01,96.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,SK,2013-07-01,95.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,UK,2013-07-01,61.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,AT,2013-08-01,101.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BE,2013-08-01,100.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,BG,2013-08-01,63.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CY,2013-08-01,79.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,CZ,2013-08-01,96.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DE,2013-08-01,106.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,DK,2013-08-01,74.0,p,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EE,2013-08-01,79.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,EL,2013-08-01,94.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,ES,2013-08-01,109.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FI,2013-08-01,164.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,FR,2013-08-01,91.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HR,2013-08-01,83.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,HU,2013-08-01,98.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IE,2013-08-01,99.0,,
ESTAT:NRG_STK_OEM(1.0),20/04/26 23:00:00,M,STK_EUE_DIR,NR,IT,2013-08-01,91.0,,
