id,name
C1392,"Manufacture of made-up textile articles, except apparel"
C1393,Manufacture of carpets and rugs
C1394,"Manufacture of cordage, rope, twine and netting"
C1399,Manufacture of other textiles n.e.c.
C14,Manufacture of wearing apparel
C141,"Manufacture of wearing apparel, except fur apparel"
C1410,"Manufacture of wearing apparel, except fur apparel"
C142,Manufacture of articles of fur
C1420,Manufacture of articles of fur
C143,Manufacture of knitted and crocheted apparel
C1430,Manufacture of knitted and crocheted apparel
C15_23_27_31T33,"Other manufacturing (C15, C23, C27, C31, C32, C33)"
C15,Manufacture of leather and related products
C151,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
C1511,Tanning and dressing of leather; dressing and dyeing of fur
C1512,"Manufacture of luggage, handbags and the like, saddlery and harness"
C152,Manufacture of footwear
C1520,Manufacture of footwear
C16T18,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials; manufacture of paper and paper products; printing and reproduction of recorded media"
C16T18_31_32,"Manufacture of wood, paper, printing, furniture and other manufacturing products"
C16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
C161,Sawmilling and planing of wood
C1610,Sawmilling and planing of wood
C162,"Manufacture of products of wood, cork, straw and plaiting materials"
C1621,Manufacture of veneer sheets and wood-based panels
C1622,Manufacture of builders' carpentry and joinery
C1623,Manufacture of wooden containers
C1629,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
C17_18,Manufacture of paper and paper products; printing and reproduction of recorded media
C17,Manufacture of paper and paper products
C170,Manufacture of paper and paper products
C1701,"Manufacture of pulp, paper and paperboard"
C1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
C1709,Manufacture of other articles of paper and paperboard
C18,Printing and reproduction of recorded media
C181,Printing and service activities related to printing
C1811,Printing
C1812,Service activities related to printing
C182,Reproduction of recorded media
C1820,Reproduction of recorded media
C19_20,"Manufacture of coke, refined petroleum products, chemicals and chemical products"
C19T21,Manufacture of coke and refined petroleum product; chemicals and chemical products; basic pharmaceutical products and pharmaceutical preparations
C19T22,"Manufacture of petroleum, chemical, pharmaceutical, rubber and plastic products"
C19T23,Manufacture of chemicals and non-metallic mineral products
C19T25,"Manufacture of petrochemicals, pharmaceuticals, rubber and plastic, non-metallic and metallic products"
C19,Manufacture of coke and refined petroleum products
C191,Manufacture of coke oven products
C1910,Manufacture of coke oven products
C192,Manufacture of refined petroleum products
C1920,Manufacture of refined petroleum products
C20_21,Manufacture of chemicals and pharmaceuticals
C20T22,Manufacture of rubber and plastic products
C20,Manufacture of chemicals and chemical products
C201,"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms"
C2011,Manufacture of basic chemicals
C2012,Manufacture of fertilizers and nitrogen compounds
C2013,Manufacture of plastics and synthetic rubber in primary forms
C202,Manufacture of other chemical products
C2021,Manufacture of pesticides and other agrochemical products
C2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
C2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
C2029,Manufacture of other chemical products n.e.c.
C203,Manufacture of man-made fibres
C2030,Manufacture of man-made fibres
C21,Manufacture of basic pharmaceutical products and pharmaceutical preparations
C210,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
C2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
C22_23,Manufacture of rubber and plastic products and other non-metallic mineral products
C22,Manufacture of rubber and plastics products
C221,Manufacture of rubber products
C2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres
C2219,Manufacture of other rubber products
C222,Manufacture of plastics products
C2220,Manufacture of plastics products
C23,Manufacture of other non-metallic mineral products
C231,Manufacture of glass and glass products
C2310,Manufacture of glass and glass products
C239,Manufacture of non-metallic mineral products n.e.c.
C2391,Manufacture of refractory products
C2392,Manufacture of clay building materials
C2393,Manufacture of other porcelain and ceramic products
C2394,"Manufacture of cement, lime and plaster"
C2395,"Manufacture of articles of concrete, cement and plaster"
C2396,"Cutting, shaping and finishing of stone"
C2399,Manufacture of other non-metallic mineral products n.e.c.
C24_25,"Manufacture of basic metals and fabricated metal products, except machinery and equipment"
C24T28X27,"Manufacture of metal and machinery products, except electrical equipment"
C24T33,"Manufacture of basic metals and fabricated metal products, machinery and equipment; furnitures; jewellery, musical instrument, toys; repair and installation of machinery and equipment"
C24,Manufacture of basic metals
C241_2431,"Manufacture of basic iron and steel and of ferro-alloys; of tubes, pipes, hollow profiles, related fittings and other products of first processing of steel; casting of iron and steel"
C241,Manufacture of basic iron and steel
C2410,Manufacture of basic iron and steel
C242_2432,Manufacture of basic precious and other non-ferrous metals; casting of light metals and other non-ferrous metals
C242,Manufacture of basic precious and other non-ferrous metals
C2420,Manufacture of basic precious and other non-ferrous metals
C243,Casting of metals
C2431,Casting of iron and steel
C2432,Casting of non-ferrous metals
C25T28,"Manufacture of fabricated metal products, of computer, electronic and optical products, of electrical equipment, of machinery and equipment"
C25T30,"Manufacture of fabricated metal products, computer, electronic and optical products, electrical equipment, machinery, motor vehicles and other transport equipment"
C25,"Manufacture of fabricated metal products, except machinery and equipment"
C25X252,"Manufacture of fabricated metal products, except weapons and ammunition, machinery and equipment"
C251,"Manufacture of structural metal products, tanks, reservoirs and steam generators"
C2511,Manufacture of structural metal products
C2512,"Manufacture of tanks, reservoirs and containers of metal"
C2513,"Manufacture of steam generators, except central heating hot water boilers"
C252,Manufacture of weapons and ammunition
C2520,Manufacture of weapons and ammunition
C259,Manufacture of other fabricated metal products; metalworking service activities
C2591,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
C2592,Treatment and coating of metals; machining
C2593,"Manufacture of cutlery, hand tools and general hardware"
C2599,Manufacture of other fabricated metal products n.e.c.
C26_27,"Manufacture of computer, electronic and optical products; manufacture of electrical equipment"
C26T28,"Manufacture of computer, electronic and optical products, electrical equipment, machinery and equipment n.e.c."
C26T28_33,Manufacture of machinery and equipment and related repair and installation activities
C26T30,"Manufacture of electronic and optical products, electrical equipment, motor vehicles and other transport equipment"
C26,"Manufacture of computer, electronic and optical products"
C261,Manufacture of electronic components and boards
C2610,Manufacture of electronic components and boards
C262,Manufacture of computers and peripheral equipment
C2620,Manufacture of computers and peripheral equipment
C263_264,Manufacture of communication equipment and consumer electronics
C263,Manufacture of communication equipment
C2630,Manufacture of communication equipment
C264,Manufacture of consumer electronics
C2640,Manufacture of consumer electronics
C265_266,"Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks; manufacture of irradiation, electromedical and electrotherapeutic equipment"
C265_267,Other electronic and optical products
C265,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks"
C2651,"Manufacture of measuring, testing, navigating and control equipment"
C2652,Manufacture of watches and clocks
C266,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
C2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment"
C267,Manufacture of optical instruments and photographic equipment
C2670,Manufacture of optical instruments and photographic equipment
C268,Manufacture of magnetic and optical media
C2680,Manufacture of magnetic and optical media
C27,Manufacture of electrical equipment
