id,name
MWAS_LANDF,Municipal waste disposed to landfills
MWAS_RECO,Municipal waste recovered
MWAS_RECYCL,Municipal waste recycled
NEAC_SHARE_EA,Population educational attainment
NETB,Net enterprises population growth/shrink
NETMIG,Net international migration (inflows minus outflows)
NETMOB,Net inter-regional mobility (inflows minus outflows)
NIGHT_LAND_TEMP_SUMMER,Nighttime summer land surface temperature
NIGHT_LAND_TEMP_WINTER,Nighttime winter land surface temperature
NIGHT_LAND_TEMP_YEARLY,Nighttime yearly land surface temperature
NO2_POP_EXP,Population exposure to nitrogen dioxide
NURSES_P,Practising nurses
O3_POP_EXP,Population exposure to ozone
OBESITY,Obesity rate
OUTMIG,Persons who left the region to reside in another country
OUTMOB,Persons who left the region to reside in another region of the same country
PCT_COPAT,"PCT co-patent applications, count"
PCT_COPAT_FREGION,PCT co-patent applications with partners in foreign country
PCT_COPAT_WCOUNTRY,PCT co-patent applications within the country
PCT_COPAT_WREGION,PCT co-patent applications within the region
PCT_PAT,"PCT Patent applications, fractional count"
PIAAC_AL_FNFAET4,Participation in formal and/or non-formal training - 4-week reference period
PM10_POP_EXP,Population exposure to PM10
PM25_POP_EXP,Population exposure to PM2.5
POP,Population
POP_DEN,Population density
POP_WATER_2ND_TREAT,Population connected to at least secondary wastewater treatment
PPP_GDP,Purchasing Power Parities for GDP
PPP_INC,Purchasing Power Parities for income
PRECIP_SUM,Precipitation
PRECIP_SUM_DIFF_1981_2010,Change in precipitation compared to 1981-2010 average
PRECIP_SUM_PROJ,Projected cummulated precipitation
PRECIP_SUM_PROJ_DIFF_1981_2010,Projected cummulated precipitation change compared to 1981-2010 average
PROD_ELEC_BIO,Biofuels and waste
PROD_ELEC_CARBON_INTENSITY,Carbon intensity of electricity generation
PROD_ELEC_COAL,Coal
PROD_ELEC_FOSSIL,Fossil fuels
PROD_ELEC_GAS,Natural gas
PROD_ELEC_GEOTHERMAL,Geothermal
PROD_ELEC_HYDRO,Hydropower
PROD_ELEC_NUCLEAR,Nuclear
PROD_ELEC_OIL,Oil
PROD_ELEC_OTHER,Other sources
PROD_ELEC_RENEWABLES,Renewables
PROD_ELEC_SOLAR,Solar
PROD_ELEC_T,"All source of energy, total electricity production"
PROD_ELEC_WIND,Wind
PROTECT_TERRESTRIAL,Protected terrestrial areas
PR_INC_DISP_PL_50,Relative poverty rate
PT_ACCESS,Access to public transport
RF_BUILT_EXP,Built-up area exposure to river flooding
RF_CROP_EXP,Cropland exposure to river flooding
RF_LAND_EXP,Land exposure to river flooding
RF_POP_EXP,Population exposure to river flooding
ROOMS,Number of rooms per capita
S80S20_INC_DISP,S80/S20 income ratio
SAL,Employees
SAL_AVG,Average employees size
SOIL_MOISTURE,Soil moisture
TB,Trade balance
TERR_FRAG,Territorial fragmentation
TO,Trade openness
TRANS_SHARE_EDULABOUR_NE_U_I,Population not in education and unemployed or inactive (NEET)
TROP_NIGHTS,Tropical nights
TROP_NIGHTS_DIFF_1981_2010,Tropical nights change compared to 1981-2010 average
TROP_NIGHTS_PROJ,Projected number of  tropical nights
TROP_NIGHTS_PROJ_DIFF_1981_2010,Projected number of tropical nights change compared to 1981-2010 average
UHI,Urban heat island effect
UNE,Unemployment
UNE_LT,Long-term unemployment
UNE_LT_RATE,Long-term unemployment rate
UNE_RATE,Unemployment rate
UNE_RATE_SEXDIF,"Long-term unemployment rate, gender difference"
UP_SPEED,Uploading speed
URB_AREA,Urbanised area
UTCI_POP_EXP,Mean population exposure to heat stress
VEH_NEW_ELECTRIC,"New registered vehicles, electric power engine"
VEH_NEW_HYBRID,"New registered vehicles, hybrid power engine"
VEH_NEW_TOTAL,"New registered private vehicles, Total"
VEH_STOCK_ELECTRIC,"Vehicles fleet, electric power engine"
VEH_STOCK_HYBRID,"Vehicles fleet, hybrid power engine"
VEH_STOCK_TOTAL,"Vehicles fleet, total"
VEH_THEFT,Motor vehicle theft
VOTERS_RATE,Voters turnout to general elections
X,Exports
X1,Exports of domestic products
X2,Re-exports
