DATAFLOW,LAST UPDATE,freq,border,unit,reason,citizen,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2011-01-01,225.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2011-01-01,250.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2011-01-01,4345.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2012-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2012-01-01,194115.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2012-01-01,8690.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2012-01-01,194150.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2012-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2012-01-01,480.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2012-01-01,35.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2012-01-01,220.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2012-01-01,510.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2012-01-01,3210.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2013-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2013-01-01,188205.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2013-01-01,6115.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2013-01-01,188220.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2013-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2013-01-01,410.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2013-01-01,35.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2013-01-01,260.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2013-01-01,435.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2013-01-01,2225.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,EL,2014-01-01,0.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,MA,ES,2014-01-01,167115.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,EL,2014-01-01,5510.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,LAND,PER,TOTAL,TOTAL,ES,2014-01-01,167115.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,EL,2014-01-01,5.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,ES,2014-01-01,480.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,MA,IT,2014-01-01,40.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,EL,2014-01-01,235.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,ES,2014-01-01,495.0,,
ESTAT:MIGR_EIRFS(1.0),12/05/26 11:00:00,A,SEA,PER,TOTAL,TOTAL,IT,2014-01-01,2460.0,,
