DATAFLOW,LAST UPDATE,freq,unit,citizen,sex,applicant,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2008-06-01,2680.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2008-07-01,0.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2008-07-01,10.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2008-07-01,10.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2008-07-01,1740.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2008-07-01,370.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,IT,2008-07-01,3870.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,EL,2008-08-01,0.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,ES,2008-08-01,5.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,MA,T,TOTAL,TOTAL,IT,2008-08-01,30.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,EL,2008-08-01,1420.0,,
ESTAT:MIGR_ASYAPPCTZM(1.0),31/07/26 11:00:00,M,PER,TOTAL,T,TOTAL,TOTAL,ES,2008-08-01,290.0,,
