DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2011-12-01,1.93,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2011-12-01,6.81,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2012-01-01,1.82,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2012-01-01,6.54,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2012-02-01,1.85,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2012-02-01,5.55,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2012-03-01,1.83,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2012-03-01,5.05,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2012-04-01,1.62,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2012-04-01,5.68,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2012-05-01,1.34,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2012-05-01,5.78,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2012-06-01,1.3,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2012-06-01,5.9,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,DE,2012-07-01,1.24,,
ESTAT:IRT_LT_MCBY_M(1.0),15/04/26 11:00:00,M,MCBY,IT,2012-07-01,6.0,,
