DATAFLOW,LAST UPDATE,freq,frequenc,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,DAY,T,PC,LT,2007-01-01,64.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,DAY,T,PC,LV,2007-01-01,61.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,DAY,T,PC,MT,2007-01-01,33.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,DAY,T,PC,PL,2007-01-01,46.6,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,DAY,T,PC,PT,2007-01-01,40.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,DAY,T,PC,RO,2007-01-01,33.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,DAY,T,PC,SI,2007-01-01,67.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,DAY,T,PC,SK,2007-01-01,68.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,DAY,T,PC,TR,2007-01-01,40.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,AT,2007-01-01,96.6,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,BE,2007-01-01,87.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,BG,2007-01-01,87.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,CY,2007-01-01,87.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,CZ,2007-01-01,95.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,DE,2007-01-01,91.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,EE,2007-01-01,98.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,EL,2007-01-01,80.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,ES,2007-01-01,85.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,FI,2007-01-01,99.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,HR,2007-01-01,94.1,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,HU,2007-01-01,96.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,LT,2007-01-01,98.9,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,LV,2007-01-01,98.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,MT,2007-01-01,82.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,PL,2007-01-01,98.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,PT,2007-01-01,81.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,RO,2007-01-01,89.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,SI,2007-01-01,97.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,SK,2007-01-01,99.4,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,F,PC,TR,2007-01-01,64.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,AT,2007-01-01,97.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,BE,2007-01-01,89.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,BG,2007-01-01,90.8,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,CY,2007-01-01,93.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,CZ,2007-01-01,97.0,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,DE,2007-01-01,92.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,EE,2007-01-01,98.3,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,EL,2007-01-01,91.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,ES,2007-01-01,91.7,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,FI,2007-01-01,99.2,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,HR,2007-01-01,95.5,,
ESTAT:CULT_PCS_NWS(1.0),25/02/16 23:00:00,A,GE1,M,PC,HU,2007-01-01,96.6,,
